type,severity,count,map_id,key,reason,evidence,recommendation
path_blackspot,medium,15,1,"-9175,-4350",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,medium,13,1,"-9675,-4125",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,medium,13,1,"-8975,-3275",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,medium,10,0,"625,-9800",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,medium,10,1,"-9225,-4525",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,medium,8,0,"-75,-5525",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,medium,8,0,"-425,-6075",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,7,0,"450,-5700",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,7,1,"-9500,-4350",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,7,1,"-9675,-4100",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,6,1,"-15175,6125",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,5,1,"-9375,-4475",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,5,0,"-25,-5675",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,5,1,"-14725,6250",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,4,1,"-9125,-3875",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,4,1,"-12675,-6525",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,4,0,"-700,2475",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,4,1,"-9225,-4175",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,4,0,"-300,-5900",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,4,0,"875,-5175",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,1,"-9250,-3875",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,0,"-1500,2375",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,1,"-12750,-6675",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,1,"-6125,-3775",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,0,"175,-5675",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,0,"-425,-6150",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,1,"-12600,-6750",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,1,"-9675,-4075",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,1,"-15025,5925",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,1,"-9050,-3900",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
destination_blackspot,medium,11,1,"-675,-4500",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,medium,9,1,"-875,-4475",find corpse:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,medium,8,1,"-400,-4000",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,medium,8,1,"-400,-4025",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,medium,8,0,"-6075,425",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,7,0,"-5525,100",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,6,1,"350,-4700",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,6,1,"-675,-4150",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,5,1,"-2875,-1000",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,5,1,"-450,-4025",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,5,1,"9800,1500",find corpse:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,4,1,"-650,-4475",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,4,1,"9600,1350",find corpse:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,4,0,"2500,700",find corpse:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,4,1,"-500,-4375",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,4,0,"-5900,300",find corpse:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,4,0,"-9150,-425",move to travel target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,3,0,"-5675,-175",find corpse:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,3,1,"-3075,-1200",move to travel target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,3,1,"350,-4675",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,3,1,"375,-4700",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,3,1,"9975,1075",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,3,0,"-5250,-1000",find corpse:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,2,0,"2350,1475",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,2,1,"8550,1025",move to travel target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,2,1,"-2975,-925",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,2,1,"-200,-4550",move to travel target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,2,0,"-5675,-275",find corpse:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,2,0,"2525,700",find corpse:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
destination_blackspot,low,2,1,"-425,-4600",move to travel target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
travel_recovery,high,45,-1,loot |cffffffff|Hitem:16114:0:0:0|h[Foreman's Blackjack]|h|r from |cFFFFFF00|Hentry:10556:|h[Lazy Peon]|h|r (objective 1)#10556,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,6,-1,loot |cffffffff|Hitem:51868:0:0:0|h[Rockhide Boar Meat]|h|r from |cFFFFFF00|Hentry:524:|h[Rockhide Boar]|h|r (objective 1)#524,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,6,-1,train a skill at |cFFFFFF00|Hentry:5612:|h[Gimrizz Shadowcog]|h|r#5612,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,5,-1,"loot |cffffffff|Hitem:51826:0:0:0|h[Squealer"" Thornmantle's Mane]|h|r from |cFFFFFF00|Hentry:3229:|h[""Squealer"" Thornmantle]|h|r (objective 1)#3229",MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,4,-1,talk to questtaker |cFFFFFF00|Hentry:3142:|h[Orgnil Soulscar]|h|r#3142,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,4,-1,loot |cffffffff|Hitem:4892:0:0:0|h[Durotar Tiger Fur]|h|r from |cFFFFFF00|Hentry:3121:|h[Durotar Tiger]|h|r (objective 1)#3121,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,4,-1,talk to questtaker |cFFFFFF00|Hentry:3188:|h[Master Gadrin]|h|r#3188,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,3,-1,loot |cffffffff|Hitem:11583:0:0:0|h[Cactus Apple]|h|r from |cFFFFFF00|Hentry:171938:|h[Cactus Apple]|h|r (objective 1)#-171938,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,3,-1,talk to questtaker |cFFFFFF00|Hentry:50002:|h[Professor Malkovich]|h|r#50002,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,3,-1,get xp or gold from killing |cFFFFFF00|Hentry:38:|h[Defias Thug]|h|r#38,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,3,-1,talk to questtaker |cFFFFFF00|Hentry:5891:|h[Minor Manifestation of Earth]|h|r#5891,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,2,-1,talk to questtaker |cFFFFFF00|Hentry:1266:|h[Tundra MacGrann]|h|r#1266,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,2,-1,loot |cffffffff|Hitem:2894:0:0:0|h[Rhapsody Malt]|h|r from |cFFFFFF00|Hentry:1682:|h[Yanni Stoutheart]|h|r (objective 2)#1682,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,2,-1,talk to questtaker |cFFFFFF00|Hentry:3706:|h[Tai'jin]|h|r#3706,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,2,-1,talk to questtaker |cFFFFFF00|Hentry:15700:|h[Warlord Gorchuk]|h|r#15700,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,2,-1,get xp or gold from killing |cFFFFFF00|Hentry:80:|h[Kobold Laborer]|h|r#80,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,high,2,-1,"loot |cffffffff|Hitem:51826:0:0:0|h[Squealer"" Thornmantle's Mane]|h|r from |cFFFFFF00|Hentry:3229:|h[""Squealer"" Thornmantle]|h|r (objective 1)#3229",MovementTravelExpired,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,2,-1,loot |cffffffff|Hitem:2667:0:0:0|h[MacGrann's Dried Meats]|h|r from |cFFFFFF00|Hentry:272:|h[MacGrann's Meat Locker]|h|r (objective 1)#-272,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,2,-1,loot |cffffffff|Hitem:4864:0:0:0|h[Minshina's Skull]|h|r from |cFFFFFF00|Hentry:3237:|h[Imprisoned Darkspear]|h|r (objective 1)#-3237,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
travel_recovery,medium,2,-1,loot |cffffffff|Hitem:2671:0:0:0|h[Wendigo Mane]|h|r from |cFFFFFF00|Hentry:1134:|h[Young Wendigo]|h|r (objective 1)#1134,MovementTravelRetry,travel retry/expiry event for selected target,Lower score for this destination point; add nearby alternate or hub escape route.
vertical_los_trap,high,59,-1,Yarrog Baneshadow#3183 quest=794,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,high,40,-1,Nightsaber#2042 quest=488,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,high,21,-1,"Squealer"" Thornmantle#3229 quest=60115",combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,high,17,-1,Windfury Harpy#2962 quest=743,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,7,-1,Lord Melenas#2038 quest=932,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,5,-1,Windfury Wind Witch#2963 quest=743,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,5,-1,Large Crag Boar#1126 quest=384,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,4,-1,Frostmane Troll Whelp#706 quest=182,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,4,-1,Goldtooth#327 quest=47,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,3,-1,Rotting Dead#1525 quest=404,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,3,-1,Princess#330 quest=88,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,3,-1,Rockhide Boar#524 quest=60141,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,3,-1,Wiry Swoop#2969 quest=761,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,2,-1,Crag Boar#1125 quest=384,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,2,-1,Rockjaw Trogg#707 quest=170,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,2,-1,Mangy Nightsaber#2032 quest=457,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,1,-1,Galak Centaur#2967 quest=40363,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,1,-1,Bristleback Shaman#2953 quest=60150,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,1,-1,Decrepit Darkhound#1547 quest=367,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
vertical_los_trap,medium,1,-1,Ice Claw Bear#1196 quest=317,combat target visible by range scan but unreachable vertically,QuestObjectiveCombatDeferred reason=vertical_los,Teach combat scanner to require navigable route or suppress target from this position cluster.
loot_rights_failure,medium,7,-1,unknown:Marla's Grave,bot attempted loot without server loot rights,LootRejected,Improve pre-kill grouping/tag ownership or suppress corpse retry for non-looters.
loot_rights_failure,medium,4,-1,not_allowed_looter:Timberling,bot attempted loot without server loot rights,LootRejected,Improve pre-kill grouping/tag ownership or suppress corpse retry for non-looters.
loot_rights_failure,medium,2,-1,not_allowed_looter:Tirisfal Farmhand,bot attempted loot without server loot rights,LootRejected,Improve pre-kill grouping/tag ownership or suppress corpse retry for non-looters.
loot_rights_failure,medium,2,-1,not_allowed_looter:Defias Thug,bot attempted loot without server loot rights,LootRejected,Improve pre-kill grouping/tag ownership or suppress corpse retry for non-looters.
loot_rights_failure,medium,2,-1,not_allowed_looter:Yarrog Baneshadow,bot attempted loot without server loot rights,LootRejected,Improve pre-kill grouping/tag ownership or suppress corpse retry for non-looters.
loot_rights_failure,medium,2,-1,not_allowed_looter:Gnarlpine Warrior,bot attempted loot without server loot rights,LootRejected,Improve pre-kill grouping/tag ownership or suppress corpse retry for non-looters.
loot_rights_failure,medium,1,-1,not_allowed_looter:Felstalker,bot attempted loot without server loot rights,LootRejected,Improve pre-kill grouping/tag ownership or suppress corpse retry for non-looters.
loot_rights_failure,medium,1,-1,not_allowed_looter:Kobold Miner,bot attempted loot without server loot rights,LootRejected,Improve pre-kill grouping/tag ownership or suppress corpse retry for non-looters.
loot_rights_failure,medium,1,-1,not_allowed_looter:Strigid Owl,bot attempted loot without server loot rights,LootRejected,Improve pre-kill grouping/tag ownership or suppress corpse retry for non-looters.
loot_rights_failure,medium,1,-1,not_allowed_looter:Shadow Sprite,bot attempted loot without server loot rights,LootRejected,Improve pre-kill grouping/tag ownership or suppress corpse retry for non-looters.
loot_rights_failure,medium,1,-1,not_allowed_looter:Bristleback Quilboar,bot attempted loot without server loot rights,LootRejected,Improve pre-kill grouping/tag ownership or suppress corpse retry for non-looters.
loot_rights_failure,medium,1,-1,not_allowed_looter:Bristleback Battleboar,bot attempted loot without server loot rights,LootRejected,Improve pre-kill grouping/tag ownership or suppress corpse retry for non-looters.
event_blackspot,low,2,0,"-75,-9450",low_value_event_or_minigame,RPG target suppression around low-value event/interactable cluster,Penalize autonomous interaction choices in this event area unless a quest/travel target explicitly requires it.
event_blackspot,low,1,0,"50,-9450",low_value_event_or_minigame,RPG target suppression around low-value event/interactable cluster,Penalize autonomous interaction choices in this event area unless a quest/travel target explicitly requires it.
event_blackspot,low,1,1,"-8975,-3275",low_value_event_or_minigame,RPG target suppression around low-value event/interactable cluster,Penalize autonomous interaction choices in this event area unless a quest/travel target explicitly requires it.
rpg_distraction,low,3,-1,low_value_event_or_minigame:Bone Chew Toy#1000380,low-value repeated RPG interaction,RpgTargetSuppressed or RpgTargetLearnedPenaltySkip,Lower RPG target score for this NPC/object entry on future runs.
rpg_distraction,low,1,-1,low_value_event_or_minigame:Chewed Toy#1000381,low-value repeated RPG interaction,RpgTargetSuppressed or RpgTargetLearnedPenaltySkip,Lower RPG target score for this NPC/object entry on future runs.
