2.1	probe	PLR	guid20000	entry0	lvl60	(-8660,620)	d0	hp100	mv0	tgt0	Obseye	>	dd0
2.1	probe	OBJ	guid2382401228	entry181390	lvl0	(-8741,579)	d91	hp0	mv0	tgt1141948809	?	>	dd0
2.1	probe	OBJ	guid2030075294	entry3705	lvl0	(-8566,599)	d96	hp0	mv0	tgt1142275637	?	>	dd0
2.1	probe	OBJ	guid872441569	entry2100	lvl0	(-8774,612)	d114	hp0	mv0	tgt1142497247	?	>	dd0
2.1	probe	OBJ	guid3070267464	entry181431	lvl0	(-8711,612)	d52	hp0	mv0	tgt1142483010	?	>	dd0
2.1	probe	OBJ	guid357322283	entry112917	lvl0	(-8664,620)	d4	hp0	mv0	tgt1142625223	?	>	dd0
2.1	probe	OBJ	guid3595340716	entry2020054	lvl0	(-8562,610)	d99	hp0	mv0	tgt1142459351	?	>	dd0
2.1	probe	OBJ	guid3644660702	entry2008793	lvl0	(-8541,609)	d119	hp0	mv0	tgt1142443278	?	>	dd0
2.1	probe	OBJ	guid305994717	entry2000402	lvl0	(-8543,612)	d117	hp0	mv0	tgt1142483878	?	>	dd0
2.1	probe	OBJ	guid708647876	entry2000426	lvl0	(-8541,615)	d119	hp0	mv0	tgt1142533800	?	>	dd0
2.1	probe	OBJ	guid624761679	entry2010661	lvl0	(-8542,621)	d118	hp0	mv0	tgt1142636052	?	>	dd0
2.1	probe	OBJ	guid540875594	entry2010656	lvl0	(-8550,615)	d111	hp0	mv0	tgt1142541926	?	>	dd0
2.1	probe	OBJ	guid2689377086	entry2003872	lvl0	(-8740,663)	d91	hp0	mv0	tgt1143332405	?	>	dd0
2.1	probe	OBJ	guid3712787258	entry2001885	lvl0	(-8740,663)	d91	hp0	mv0	tgt1143329653	?	>	dd0
2.1	probe	OBJ	guid3696010040	entry2002396	lvl0	(-8741,663)	d92	hp0	mv0	tgt1143327146	?	>	dd0
2.1	probe	OBJ	guid3930891061	entry2003434	lvl0	(-8741,663)	d92	hp0	mv0	tgt1143330849	?	>	dd0
2.1	probe	OBJ	guid2672599852	entry2003359	lvl0	(-8741,664)	d93	hp0	mv0	tgt1143340827	?	>	dd0
2.1	probe	OBJ	guid793551657	entry2008623	lvl0	(-8742,664)	d93	hp0	mv0	tgt1143340548	?	>	dd0
2.1	probe	OBJ	guid810328872	entry2008624	lvl0	(-8740,663)	d91	hp0	mv0	tgt1143332684	?	>	dd0
2.1	probe	OBJ	guid4283212583	entry2000383	lvl0	(-8742,664)	d93	hp0	mv0	tgt1143343202	?	>	dd0
2.1	probe	OBJ	guid5022502	entry2000384	lvl0	(-8742,664)	d93	hp0	mv0	tgt1143342334	?	>	dd0
2.1	probe	OBJ	guid3997999909	entry2004462	lvl0	(-8741,664)	d92	hp0	mv0	tgt1143333716	?	>	dd0
2.1	probe	OBJ	guid1816961828	entry170348	lvl0	(-8742,663)	d92	hp0	mv0	tgt1143319855	?	>	dd0
2.1	probe	OBJ	guid843883299	entry2003250	lvl0	(-8741,664)	d92	hp0	mv0	tgt1143342203	?	>	dd0
2.1	probe	OBJ	guid1431085858	entry2003285	lvl0	(-8741,664)	d92	hp0	mv0	tgt1143335518	?	>	dd0
2.1	probe	OBJ	guid3696003485	entry105180	lvl0	(-8739,655)	d87	hp0	mv0	tgt1143193551	?	>	dd0
2.1	probe	OBJ	guid3695989040	entry105180	lvl0	(-8744,653)	d91	hp0	mv0	tgt1143166403	?	>	dd0
2.1	probe	OBJ	guid3695989039	entry105180	lvl0	(-8750,652)	d95	hp0	mv0	tgt1143137976	?	>	dd0
2.1	probe	OBJ	guid3057464675	entry24502	lvl0	(-8750,661)	d99	hp0	mv0	tgt1143298376	?	>	dd0
2.1	probe	OBJ	guid3057464674	entry24502	lvl0	(-8748,660)	d97	hp0	mv0	tgt1143273325	?	>	dd0
2.1	probe	OBJ	guid1144858300	entry178244	lvl0	(-8739,653)	d86	hp0	mv0	tgt1143166796	?	>	dd0
2.1	probe	OBJ	guid960308923	entry2003257	lvl0	(-8750,659)	d98	hp0	mv0	tgt1143261561	?	>	dd0
2.1	probe	OBJ	guid1799169722	entry2003563	lvl0	(-8744,660)	d93	hp0	mv0	tgt1143269048	?	>	dd0
2.1	probe	OBJ	guid2902484767	entry24493	lvl0	(-8737,654)	d84	hp0	mv0	tgt1143185228	?	>	dd0
2.1	probe	OBJ	guid2622246120	entry379548	lvl0	(-8702,639)	d46	hp0	mv0	tgt1142926049	?	>	dd0
2.1	probe	OBJ	guid2030069537	entry3705	lvl0	(-8716,641)	d60	hp0	mv0	tgt1142968041	?	>	dd0
2.1	probe	OBJ	guid356328275	entry112917	lvl0	(-8675,633)	d20	hp0	mv0	tgt1142839706	?	>	dd0
2.1	probe	OBJ	guid4194330522	entry25338	lvl0	(-8556,667)	d114	hp0	mv0	tgt1143383179	?	>	dd0
2.1	probe	OBJ	guid2382401227	entry181390	lvl0	(-8743,695)	d112	hp0	mv0	tgt1143855137	?	>	dd0
2.1	probe	OBJ	guid2030078035	entry3705	lvl0	(-8673,691)	d72	hp0	mv0	tgt1143786095	?	>	dd0
2.1	probe	OBJ	guid843874490	entry2003250	lvl0	(-8648,677)	d58	hp0	mv0	tgt1143550837	?	>	dd0
2.1	probe	OBJ	guid843874489	entry2003250	lvl0	(-8650,675)	d56	hp0	mv0	tgt1143527227	?	>	dd0
2.1	probe	OBJ	guid843874452	entry2003250	lvl0	(-8644,683)	d65	hp0	mv0	tgt1143650779	?	>	dd0
2.1	probe	OBJ	guid2639036562	entry1000093	lvl0	(-8642,681)	d64	hp0	mv0	tgt1143626400	?	>	dd0
2.1	probe	OBJ	guid4216094865	entry2003195	lvl0	(-8643,682)	d64	hp0	mv0	tgt1143636247	?	>	dd0
2.1	probe	OBJ	guid4216094864	entry2003195	lvl0	(-8643,682)	d65	hp0	mv0	tgt1143640605	?	>	dd0
2.1	probe	OBJ	guid3243016335	entry2003137	lvl0	(-8642,681)	d64	hp0	mv0	tgt1143627481	?	>	dd0
2.1	probe	OBJ	guid206340238	entry2004236	lvl0	(-8642,681)	d64	hp0	mv0	tgt1143620387	?	>	dd0
2.1	probe	OBJ	guid172785805	entry2004234	lvl0	(-8642,681)	d64	hp0	mv0	tgt1143624122	?	>	dd0
2.1	probe	OBJ	guid172785804	entry2004234	lvl0	(-8643,683)	d65	hp0	mv0	tgt1143646847	?	>	dd0
2.1	probe	OBJ	guid239894667	entry2004238	lvl0	(-8643,682)	d65	hp0	mv0	tgt1143643914	?	>	dd0
2.1	probe	OBJ	guid189563018	entry2004235	lvl0	(-8642,681)	d64	hp0	mv0	tgt1143624647	?	>	dd0
2.1	probe	OBJ	guid206340233	entry2004236	lvl0	(-8643,682)	d65	hp0	mv0	tgt1143643210	?	>	dd0
2.1	probe	OBJ	guid1984725127	entry2005110	lvl0	(-8642,682)	d64	hp0	mv0	tgt1143631036	?	>	dd0
2.1	probe	OBJ	guid4182540421	entry2003193	lvl0	(-8642,682)	d64	hp0	mv0	tgt1143632806	?	>	dd0
2.1	probe	OBJ	guid1431076937	entry2003285	lvl0	(-8649,677)	d58	hp0	mv0	tgt1143560389	?	>	dd0
2.1	probe	OBJ	guid1431076936	entry2003285	lvl0	(-8651,676)	d57	hp0	mv0	tgt1143537009	?	>	dd0
2.1	probe	OBJ	guid3846994902	entry2011109	lvl0	(-8658,668)	d48	hp0	mv0	tgt1143409525	?	>	dd0
2.1	probe	OBJ	guid3707791354	entry10205	lvl0	(-8653,671)	d51	hp0	mv0	tgt1143448928	?	>	dd0
2.1	probe	OBJ	guid3691014137	entry10204	lvl0	(-8655,673)	d53	hp0	mv0	tgt1143492248	?	>	dd0
2.1	probe	OBJ	guid4211107761	entry25339	lvl0	(-8577,672)	d98	hp0	mv0	tgt1143468442	?	>	dd0
2.1	probe	OBJ	guid905996187	entry2102	lvl0	(-8560,671)	d112	hp0	mv0	tgt1143451173	?	>	dd0
2.1	probe	OBJ	guid3070267469	entry181431	lvl0	(-8577,541)	d115	hp0	mv0	tgt1141331558	?	>	dd0
2.1	probe	OBJ	guid2097178458	entry28029	lvl0	(-8577,537)	d118	hp0	mv0	tgt1141252440	?	>	dd0
2.1	probe	OBJ	guid2365613913	entry2189	lvl0	(-8579,535)	d117	hp0	mv0	tgt1141232419	?	>	dd0
2.1	probe	OBJ	guid1358980952	entry2129	lvl0	(-8579,537)	d116	hp0	mv0	tgt1141261255	?	>	dd0
2.1	probe	OBJ	guid1207986007	entry2120	lvl0	(-8577,535)	d119	hp0	mv0	tgt1141223588	?	>	dd0
2.1	probe	OBJ	guid2382401234	entry181390	lvl0	(-8588,707)	d113	hp0	mv0	tgt1144042488	?	>	dd0
2.1	probe	OBJ	guid2101159129	entry2004093	lvl0	(-8622,731)	d117	hp0	mv0	tgt1144430625	?	>	dd0
2.1	probe	OBJ	guid2991366215	entry24498	lvl0	(-8651,732)	d112	hp0	mv0	tgt1144453022	?	>	dd0
2.1	probe	OBJ	guid4227885033	entry25340	lvl0	(-8685,710)	d93	hp0	mv0	tgt1144091705	?	>	dd0
2.1	probe	OBJ	guid2365614066	entry24717	lvl0	(-8713,726)	d119	hp0	mv0	tgt1144355996	?	>	dd0
2.1	probe	OBJ	guid2147510257	entry28032	lvl0	(-8712,724)	d116	hp0	mv0	tgt1144323080	?	>	dd0
2.1	probe	OBJ	guid2130733039	entry2175	lvl0	(-8711,726)	d118	hp0	mv0	tgt1144353096	?	>	dd0
2.1	probe	OBJ	guid956327918	entry2105	lvl0	(-8702,713)	d102	hp0	mv0	tgt1144139350	?	>	dd0
2.1	probe	OBJ	guid2281727980	entry28040	lvl0	(-8713,724)	d117	hp0	mv0	tgt1144325636	?	>	dd0
2.1	probe	OBJ	guid3724568555	entry63198	lvl0	(-8701,730)	d117	hp0	mv0	tgt1144424923	?	>	dd0
2.1	probe	OBJ	guid3707791338	entry63197	lvl0	(-8706,709)	d100	hp0	mv0	tgt1144084365	?	>	dd0
2.1	probe	OBJ	guid2332059624	entry2187	lvl0	(-8713,724)	d117	hp0	mv0	tgt1144325964	?	>	dd0
2.1	probe	OBJ	guid1140877027	entry2116	lvl0	(-8751,552)	d113	hp0	mv0	tgt1141508473	?	>	dd0
2.1	probe	OBJ	guid2214618850	entry28036	lvl0	(-8752,552)	d115	hp0	mv0	tgt1141504541	?	>	dd0
2.1	probe	OBJ	guid1191208672	entry2119	lvl0	(-8750,550)	d114	hp0	mv0	tgt1141478556	?	>	dd0
2.1	probe	OBJ	guid1056990943	entry2111	lvl0	(-8752,552)	d115	hp0	mv0	tgt1141504541	?	>	dd0
2.1	probe	OBJ	guid2231396339	entry28037	lvl0	(-8738,705)	d115	hp0	mv0	tgt1144011145	?	>	dd0
2.1	probe	OBJ	guid1325426672	entry2127	lvl0	(-8737,707)	d116	hp0	mv0	tgt1144041734	?	>	dd0
2.1	probe	OBJ	guid1090545645	entry2113	lvl0	(-8736,705)	d114	hp0	mv0	tgt1144008819	?	>	dd0
2.1	probe	OBJ	guid2097178599	entry2173	lvl0	(-8736,707)	d115	hp0	mv0	tgt1144038834	?	>	dd0
2.1	probe	OBJ	guid2248173542	entry2182	lvl0	(-8738,705)	d115	hp0	mv0	tgt1144011702	?	>	dd0
2.1	probe	OBJ	guid3070267468	entry181431	lvl0	(-8613,514)	d116	hp0	mv0	tgt1140879114	?	>	dd0
2.1	probe	OBJ	guid1157654347	entry2117	lvl0	(-8616,520)	d109	hp0	mv0	tgt1140983955	?	>	dd0
2.1	probe	OBJ	guid2080401225	entry28028	lvl0	(-8616,522)	d107	hp0	mv0	tgt1141014135	?	>	dd0
2.1	probe	OBJ	guid4160776008	entry25336	lvl0	(-8621,515)	d112	hp0	mv0	tgt1140900348	?	>	dd0
2.1	probe	OBJ	guid1291872070	entry2125	lvl0	(-8618,522)	d107	hp0	mv0	tgt1141014397	?	>	dd0
2.1	probe	OBJ	guid1593861957	entry2143	lvl0	(-8618,520)	d108	hp0	mv0	tgt1140984218	?	>	dd0
2.1	probe	OBJ	guid2991366218	entry24498	lvl0	(-8654,736)	d116	hp0	mv0	tgt1144516968	?	>	dd0
2.1	probe	OBJ	guid2991366217	entry24498	lvl0	(-8657,740)	d120	hp0	mv0	tgt1144582177	?	>	dd0
2.1	probe	OBJ	guid3070267463	entry181431	lvl0	(-8713,520)	d113	hp0	mv0	tgt1140979892	?	>	dd0
2.1	probe	OBJ	guid1308656920	entry3662	lvl0	(-8705,519)	d111	hp0	mv0	tgt1140957905	?	>	dd0
2.1	probe	OBJ	guid50358071	entry25347	lvl0	(-8709,516)	d115	hp0	mv0	tgt1140924137	?	>	dd0
4.2	probe	PLR	guid20000	entry0	lvl60	(-8660,620)	d0	hp100	mv0	tgt0	Obseye	>	dd0
4.2	probe	OBJ	guid2382401228	entry181390	lvl0	(-8741,579)	d91	hp0	mv0	tgt1141948809	?	>	dd0
4.2	probe	OBJ	guid2030075294	entry3705	lvl0	(-8566,599)	d96	hp0	mv0	tgt1142275637	?	>	dd0
4.2	probe	OBJ	guid872441569	entry2100	lvl0	(-8774,612)	d114	hp0	mv0	tgt1142497247	?	>	dd0
4.2	probe	OBJ	guid3070267464	entry181431	lvl0	(-8711,612)	d52	hp0	mv0	tgt1142483010	?	>	dd0
4.2	probe	OBJ	guid357322283	entry112917	lvl0	(-8664,620)	d4	hp0	mv0	tgt1142625223	?	>	dd0
4.2	probe	OBJ	guid3595340716	entry2020054	lvl0	(-8562,610)	d99	hp0	mv0	tgt1142459351	?	>	dd0
4.2	probe	OBJ	guid3644660702	entry2008793	lvl0	(-8541,609)	d119	hp0	mv0	tgt1142443278	?	>	dd0
4.2	probe	OBJ	guid305994717	entry2000402	lvl0	(-8543,612)	d117	hp0	mv0	tgt1142483878	?	>	dd0
4.2	probe	OBJ	guid708647876	entry2000426	lvl0	(-8541,615)	d119	hp0	mv0	tgt1142533800	?	>	dd0
4.2	probe	OBJ	guid624761679	entry2010661	lvl0	(-8542,621)	d118	hp0	mv0	tgt1142636052	?	>	dd0
4.2	probe	OBJ	guid540875594	entry2010656	lvl0	(-8550,615)	d111	hp0	mv0	tgt1142541926	?	>	dd0
4.2	probe	OBJ	guid2689377086	entry2003872	lvl0	(-8740,663)	d91	hp0	mv0	tgt1143332405	?	>	dd0
4.2	probe	OBJ	guid3712787258	entry2001885	lvl0	(-8740,663)	d91	hp0	mv0	tgt1143329653	?	>	dd0
4.2	probe	OBJ	guid3696010040	entry2002396	lvl0	(-8741,663)	d92	hp0	mv0	tgt1143327146	?	>	dd0
4.2	probe	OBJ	guid3930891061	entry2003434	lvl0	(-8741,663)	d92	hp0	mv0	tgt1143330849	?	>	dd0
4.2	probe	OBJ	guid2672599852	entry2003359	lvl0	(-8741,664)	d93	hp0	mv0	tgt1143340827	?	>	dd0
4.2	probe	OBJ	guid793551657	entry2008623	lvl0	(-8742,664)	d93	hp0	mv0	tgt1143340548	?	>	dd0
4.2	probe	OBJ	guid810328872	entry2008624	lvl0	(-8740,663)	d91	hp0	mv0	tgt1143332684	?	>	dd0
4.2	probe	OBJ	guid4283212583	entry2000383	lvl0	(-8742,664)	d93	hp0	mv0	tgt1143343202	?	>	dd0
4.2	probe	OBJ	guid5022502	entry2000384	lvl0	(-8742,664)	d93	hp0	mv0	tgt1143342334	?	>	dd0
4.2	probe	OBJ	guid3997999909	entry2004462	lvl0	(-8741,664)	d92	hp0	mv0	tgt1143333716	?	>	dd0
4.2	probe	OBJ	guid1816961828	entry170348	lvl0	(-8742,663)	d92	hp0	mv0	tgt1143319855	?	>	dd0
4.2	probe	OBJ	guid843883299	entry2003250	lvl0	(-8741,664)	d92	hp0	mv0	tgt1143342203	?	>	dd0
4.2	probe	OBJ	guid1431085858	entry2003285	lvl0	(-8741,664)	d92	hp0	mv0	tgt1143335518	?	>	dd0
4.2	probe	OBJ	guid3696003485	entry105180	lvl0	(-8739,655)	d87	hp0	mv0	tgt1143193551	?	>	dd0
4.2	probe	OBJ	guid3695989040	entry105180	lvl0	(-8744,653)	d91	hp0	mv0	tgt1143166403	?	>	dd0
4.2	probe	OBJ	guid3695989039	entry105180	lvl0	(-8750,652)	d95	hp0	mv0	tgt1143137976	?	>	dd0
4.2	probe	OBJ	guid3057464675	entry24502	lvl0	(-8750,661)	d99	hp0	mv0	tgt1143298376	?	>	dd0
4.2	probe	OBJ	guid3057464674	entry24502	lvl0	(-8748,660)	d97	hp0	mv0	tgt1143273325	?	>	dd0
4.2	probe	OBJ	guid1144858300	entry178244	lvl0	(-8739,653)	d86	hp0	mv0	tgt1143166796	?	>	dd0
4.2	probe	OBJ	guid960308923	entry2003257	lvl0	(-8750,659)	d98	hp0	mv0	tgt1143261561	?	>	dd0
4.2	probe	OBJ	guid1799169722	entry2003563	lvl0	(-8744,660)	d93	hp0	mv0	tgt1143269048	?	>	dd0
4.2	probe	OBJ	guid2902484767	entry24493	lvl0	(-8737,654)	d84	hp0	mv0	tgt1143185228	?	>	dd0
4.2	probe	OBJ	guid2622246120	entry379548	lvl0	(-8702,639)	d46	hp0	mv0	tgt1142926049	?	>	dd0
4.2	probe	OBJ	guid2030069537	entry3705	lvl0	(-8716,641)	d60	hp0	mv0	tgt1142968041	?	>	dd0
4.2	probe	OBJ	guid356328275	entry112917	lvl0	(-8675,633)	d20	hp0	mv0	tgt1142839706	?	>	dd0
4.2	probe	OBJ	guid4194330522	entry25338	lvl0	(-8556,667)	d114	hp0	mv0	tgt1143383179	?	>	dd0
4.2	probe	OBJ	guid2382401227	entry181390	lvl0	(-8743,695)	d112	hp0	mv0	tgt1143855137	?	>	dd0
4.2	probe	OBJ	guid2030078035	entry3705	lvl0	(-8673,691)	d72	hp0	mv0	tgt1143786095	?	>	dd0
4.2	probe	OBJ	guid843874490	entry2003250	lvl0	(-8648,677)	d58	hp0	mv0	tgt1143550837	?	>	dd0
4.2	probe	OBJ	guid843874489	entry2003250	lvl0	(-8650,675)	d56	hp0	mv0	tgt1143527227	?	>	dd0
4.2	probe	OBJ	guid843874452	entry2003250	lvl0	(-8644,683)	d65	hp0	mv0	tgt1143650779	?	>	dd0
4.2	probe	OBJ	guid2639036562	entry1000093	lvl0	(-8642,681)	d64	hp0	mv0	tgt1143626400	?	>	dd0
4.2	probe	OBJ	guid4216094865	entry2003195	lvl0	(-8643,682)	d64	hp0	mv0	tgt1143636247	?	>	dd0
4.2	probe	OBJ	guid4216094864	entry2003195	lvl0	(-8643,682)	d65	hp0	mv0	tgt1143640605	?	>	dd0
4.2	probe	OBJ	guid3243016335	entry2003137	lvl0	(-8642,681)	d64	hp0	mv0	tgt1143627481	?	>	dd0
4.2	probe	OBJ	guid206340238	entry2004236	lvl0	(-8642,681)	d64	hp0	mv0	tgt1143620387	?	>	dd0
4.2	probe	OBJ	guid172785805	entry2004234	lvl0	(-8642,681)	d64	hp0	mv0	tgt1143624122	?	>	dd0
4.2	probe	OBJ	guid172785804	entry2004234	lvl0	(-8643,683)	d65	hp0	mv0	tgt1143646847	?	>	dd0
4.2	probe	OBJ	guid239894667	entry2004238	lvl0	(-8643,682)	d65	hp0	mv0	tgt1143643914	?	>	dd0
4.2	probe	OBJ	guid189563018	entry2004235	lvl0	(-8642,681)	d64	hp0	mv0	tgt1143624647	?	>	dd0
4.2	probe	OBJ	guid206340233	entry2004236	lvl0	(-8643,682)	d65	hp0	mv0	tgt1143643210	?	>	dd0
4.2	probe	OBJ	guid1984725127	entry2005110	lvl0	(-8642,682)	d64	hp0	mv0	tgt1143631036	?	>	dd0
4.2	probe	OBJ	guid4182540421	entry2003193	lvl0	(-8642,682)	d64	hp0	mv0	tgt1143632806	?	>	dd0
4.2	probe	OBJ	guid1431076937	entry2003285	lvl0	(-8649,677)	d58	hp0	mv0	tgt1143560389	?	>	dd0
4.2	probe	OBJ	guid1431076936	entry2003285	lvl0	(-8651,676)	d57	hp0	mv0	tgt1143537009	?	>	dd0
4.2	probe	OBJ	guid3846994902	entry2011109	lvl0	(-8658,668)	d48	hp0	mv0	tgt1143409525	?	>	dd0
4.2	probe	OBJ	guid3707791354	entry10205	lvl0	(-8653,671)	d51	hp0	mv0	tgt1143448928	?	>	dd0
4.2	probe	OBJ	guid3691014137	entry10204	lvl0	(-8655,673)	d53	hp0	mv0	tgt1143492248	?	>	dd0
4.2	probe	OBJ	guid4211107761	entry25339	lvl0	(-8577,672)	d98	hp0	mv0	tgt1143468442	?	>	dd0
4.2	probe	OBJ	guid905996187	entry2102	lvl0	(-8560,671)	d112	hp0	mv0	tgt1143451173	?	>	dd0
4.2	probe	OBJ	guid3070267469	entry181431	lvl0	(-8577,541)	d115	hp0	mv0	tgt1141331558	?	>	dd0
4.2	probe	OBJ	guid2097178458	entry28029	lvl0	(-8577,537)	d118	hp0	mv0	tgt1141252440	?	>	dd0
4.2	probe	OBJ	guid2365613913	entry2189	lvl0	(-8579,535)	d117	hp0	mv0	tgt1141232419	?	>	dd0
4.2	probe	OBJ	guid1358980952	entry2129	lvl0	(-8579,537)	d116	hp0	mv0	tgt1141261255	?	>	dd0
4.2	probe	OBJ	guid1207986007	entry2120	lvl0	(-8577,535)	d119	hp0	mv0	tgt1141223588	?	>	dd0
4.2	probe	OBJ	guid2382401234	entry181390	lvl0	(-8588,707)	d113	hp0	mv0	tgt1144042488	?	>	dd0
4.2	probe	OBJ	guid2101159129	entry2004093	lvl0	(-8622,731)	d117	hp0	mv0	tgt1144430625	?	>	dd0
4.2	probe	OBJ	guid2991366215	entry24498	lvl0	(-8651,732)	d112	hp0	mv0	tgt1144453022	?	>	dd0
4.2	probe	OBJ	guid4227885033	entry25340	lvl0	(-8685,710)	d93	hp0	mv0	tgt1144091705	?	>	dd0
4.2	probe	OBJ	guid2365614066	entry24717	lvl0	(-8713,726)	d119	hp0	mv0	tgt1144355996	?	>	dd0
4.2	probe	OBJ	guid2147510257	entry28032	lvl0	(-8712,724)	d116	hp0	mv0	tgt1144323080	?	>	dd0
4.2	probe	OBJ	guid2130733039	entry2175	lvl0	(-8711,726)	d118	hp0	mv0	tgt1144353096	?	>	dd0
4.2	probe	OBJ	guid956327918	entry2105	lvl0	(-8702,713)	d102	hp0	mv0	tgt1144139350	?	>	dd0
4.2	probe	OBJ	guid2281727980	entry28040	lvl0	(-8713,724)	d117	hp0	mv0	tgt1144325636	?	>	dd0
4.2	probe	OBJ	guid3724568555	entry63198	lvl0	(-8701,730)	d117	hp0	mv0	tgt1144424923	?	>	dd0
4.2	probe	OBJ	guid3707791338	entry63197	lvl0	(-8706,709)	d100	hp0	mv0	tgt1144084365	?	>	dd0
4.2	probe	OBJ	guid2332059624	entry2187	lvl0	(-8713,724)	d117	hp0	mv0	tgt1144325964	?	>	dd0
4.2	probe	OBJ	guid1140877027	entry2116	lvl0	(-8751,552)	d113	hp0	mv0	tgt1141508473	?	>	dd0
4.2	probe	OBJ	guid2214618850	entry28036	lvl0	(-8752,552)	d115	hp0	mv0	tgt1141504541	?	>	dd0
4.2	probe	OBJ	guid1191208672	entry2119	lvl0	(-8750,550)	d114	hp0	mv0	tgt1141478556	?	>	dd0
4.2	probe	OBJ	guid1056990943	entry2111	lvl0	(-8752,552)	d115	hp0	mv0	tgt1141504541	?	>	dd0
4.2	probe	OBJ	guid2231396339	entry28037	lvl0	(-8738,705)	d115	hp0	mv0	tgt1144011145	?	>	dd0
4.2	probe	OBJ	guid1325426672	entry2127	lvl0	(-8737,707)	d116	hp0	mv0	tgt1144041734	?	>	dd0
4.2	probe	OBJ	guid1090545645	entry2113	lvl0	(-8736,705)	d114	hp0	mv0	tgt1144008819	?	>	dd0
4.2	probe	OBJ	guid2097178599	entry2173	lvl0	(-8736,707)	d115	hp0	mv0	tgt1144038834	?	>	dd0
4.2	probe	OBJ	guid2248173542	entry2182	lvl0	(-8738,705)	d115	hp0	mv0	tgt1144011702	?	>	dd0
4.2	probe	OBJ	guid3070267468	entry181431	lvl0	(-8613,514)	d116	hp0	mv0	tgt1140879114	?	>	dd0
4.2	probe	OBJ	guid1157654347	entry2117	lvl0	(-8616,520)	d109	hp0	mv0	tgt1140983955	?	>	dd0
4.2	probe	OBJ	guid2080401225	entry28028	lvl0	(-8616,522)	d107	hp0	mv0	tgt1141014135	?	>	dd0
4.2	probe	OBJ	guid4160776008	entry25336	lvl0	(-8621,515)	d112	hp0	mv0	tgt1140900348	?	>	dd0
4.2	probe	OBJ	guid1291872070	entry2125	lvl0	(-8618,522)	d107	hp0	mv0	tgt1141014397	?	>	dd0
4.2	probe	OBJ	guid1593861957	entry2143	lvl0	(-8618,520)	d108	hp0	mv0	tgt1140984218	?	>	dd0
4.2	probe	OBJ	guid2991366218	entry24498	lvl0	(-8654,736)	d116	hp0	mv0	tgt1144516968	?	>	dd0
4.2	probe	OBJ	guid2991366217	entry24498	lvl0	(-8657,740)	d120	hp0	mv0	tgt1144582177	?	>	dd0
4.2	probe	OBJ	guid3070267463	entry181431	lvl0	(-8713,520)	d113	hp0	mv0	tgt1140979892	?	>	dd0
4.2	probe	OBJ	guid1308656920	entry3662	lvl0	(-8705,519)	d111	hp0	mv0	tgt1140957905	?	>	dd0
4.2	probe	OBJ	guid50358071	entry25347	lvl0	(-8709,516)	d115	hp0	mv0	tgt1140924137	?	>	dd0
4.2	probe	OBJ	guid3300148	entry0	lvl0	(-8697,653)	d50	hp0	mv0	tgt0	?	>	dd0
4.2	probe	PLR	guid1826	entry0	lvl60	(-8697,653)	d50	hp0	mv0	tgt0	Clannah	>	dd0
4.2	probe	OBJ	guid1	entry14315	lvl0	(-8697,653)	d50	hp0	mv0	tgt0	?	>	dd0
6.5	probe	PLR	guid20000	entry0	lvl60	(-8660,620)	d0	hp100	mv0	tgt0	Obseye	>	dd0
6.5	probe	OBJ	guid2382401228	entry181390	lvl0	(-8741,579)	d91	hp0	mv0	tgt1141948809	?	>	dd0
6.5	probe	OBJ	guid2030075294	entry3705	lvl0	(-8566,599)	d96	hp0	mv0	tgt1142275637	?	>	dd0
6.5	probe	OBJ	guid872441569	entry2100	lvl0	(-8774,612)	d114	hp0	mv0	tgt1142497247	?	>	dd0
